2025.08.05 11:49:02.358,Trades,'963254': deal #50641336 sell 0.08 XAUUSD.sd at 3352.85 done (based on order #52534938)
2025.08.05 11:49:02.365,Trades,'963254': order #52534938 sell 0.08 / 0.08 XAUUSD.sd at 3352.85 done in 20.392 ms
2025.08.05 12:36:29.409,Trades,'963254': deal #50648804 buy 0.08 XAUUSD.sd at 3365.00 done (based on order #52542417)
2025.08.05 13:53:47.630,Trades,'963254': deal #50668545 buy 0.54 GBPJPY.sd at 196.250 done (based on order #52562143)
2025.08.05 14:49:29.506,Network,'963254': scanning network for access points
2025.08.05 14:51:10.245,Network,'963254': scanning network finished
2025.08.05 15:32:02.849,Trades,'963254': deal #50695829 buy 0.31 EURJPY.sd at 170.760 done (based on order #52589288)
2025.08.05 20:49:30.603,Network,'963254': scanning network for access points
2025.08.05 20:51:11.333,Network,'963254': scanning network finished
2025.08.06 02:49:31.468,Network,'963254': scanning network for access points
2025.08.06 02:51:12.098,Network,'963254': scanning network finished
2025.08.06 07:08:38.769,Trades,'963254': market sell 0.25 USDCHF.sd sl: 0.81100 tp: 0.80200
2025.08.06 07:08:38.783,Trades,'963254': accepted market sell 0.25 USDCHF.sd sl: 0.81100 tp: 0.80200
2025.08.06 07:08:38.791,Trades,'963254': deal #50748028 sell 0.25 USDCHF.sd at 0.80795 done (based on order #52641693)
2025.08.06 07:08:38.807,Trades,'963254': order #52641693 sell 0.25 / 0.25 USDCHF.sd at 0.80795 done in 55.874 ms
2025.08.06 07:22:06.101,Trades,'963254': market buy 0.06 XAUUSD.sd sl: 3355.00 tp: 3400.00
2025.08.06 07:22:06.108,Trades,'963254': deal #50749547 buy 0.06 XAUUSD.sd at 3370.02 done (based on order #52643190)
2025.08.06 07:22:06.109,Trades,'963254': accepted market buy 0.06 XAUUSD.sd sl: 3355.00 tp: 3400.00
2025.08.06 07:22:06.110,Trades,'963254': order #52643190 buy 0.06 / 0.06 XAUUSD.sd at 3370.02 done in 9.730 ms
2025.08.06 07:34:36.413,Trades,'963254': market buy 0.21 GBPUSD.sd sl: 1.32460 tp: 1.33870
